user_id,daily_screen_time_hours,social_media_hours,work_study_hours,sleep_hours,notification_count,breaks_per_day,stress_level,productivity_score
56,8.36,3.02,6.75,5.28,133,9,10,80
57,4.82,2.23,6.58,6.77,26,4,2,85
58,5.88,0.48,7.22,5.94,40,5,3,82
59,7.16,3.07,7.48,6.08,138,1,5,95
60,8.45,0.77,1,9,143,13,10,66
61,5.54,2.67,5.9,7.22,232,1,10,24
62,6.13,2.79,3.94,7.98,79,12,10,6
63,4.29,3.56,3.51,7,45,9,5,81
64,4.11,4.64,6.12,7.61,145,6,7,90
65,8.13,0.86,1.54,7.34,102,13,10,2
66,9.21,2.44,1.5,7.13,82,10,3,26
67,6.36,2.17,6.27,8.24,223,14,3,44
68,8.51,3.02,5.98,7,147,13,7,1
69,7.22,2.76,5.27,9.77,33,10,6,2
70,5.21,2.08,3.24,8.05,200,6,6,97
71,7.22,1.97,6.49,5.32,177,5,4,11
72,9.58,1.16,6.36,6.57,11,6,4,30
73,6.43,3.69,5.17,7.32,29,14,2,34
74,9.63,3.05,2.65,6.86,218,8,6,61
75,1.26,3.6,4.15,7.69,42,7,10,91
76,8.14,2.13,6.68,7.84,23,7,3,34
77,6.67,1.71,7.65,5.03,233,9,6,71
78,5.9,1.21,4.35,8.47,191,9,3,2
79,6.68,2.93,4.5,6.15,64,13,3,64
80,2.52,1.25,4.68,6.03,46,9,1,94
81,6.06,4.72,5.55,6.02,225,1,5,3
82,7.21,0.93,3.84,7.85,114,12,2,66
83,9.46,2.83,1,6.45,93,11,10,30
84,5.46,4.38,7.39,5.94,122,11,2,93
85,4.88,3.22,8.59,6.25,143,6,9,35
86,5.5,2.71,3.78,4.47,170,5,2,22
87,8.33,1.34,2.87,5.71,137,8,2,82
88,7.16,0.84,4.73,5.19,59,11,6,62
89,5.44,3.42,4.62,6.45,229,10,10,54
90,7.53,4.31,6.99,7.66,212,13,1,98
91,6.69,1.97,5.11,7.52,237,8,8,60
92,8.44,1.13,3.41,8.43,93,8,1,38
93,5.1,0,2.36,8.14,207,5,9,30
94,5.84,1.32,6.73,6.11,209,10,4,2
95,5.72,2.36,6.2,6.82,220,11,3,20
96,3.57,4.42,7.12,6.76,88,10,7,44
97,7.09,3.31,3.06,4,95,1,8,80
98,7.02,2.87,8.68,5.22,188,13,5,68
99,6.51,2.02,1.51,6.58,203,4,3,77
100,6.03,1.8,6.42,6.58,198,7,4,78
101,3.67,4.19,1.18,7.47,165,2,10,9
102,5.66,2.74,3.42,7.4,237,7,6,14
103,5.81,0,8.12,4.5,109,5,5,11
104,4.9,1.69,6.66,7.47,181,6,4,10
105,6.18,1.47,3.91,7.03,219,6,3,94
106,7.31,1.84,3.96,7.61,149,5,6,71
107,10.27,3.18,5.2,8.19,220,10,7,57
108,6.85,2.37,6.03,6.61,66,7,2,6
109,7.02,2.41,7.5,8.42,163,4,6,17
110,6.35,4.08,4.09,5.64,34,13,3,13
111,2.66,1.66,1.78,5.57,229,1,10,59
112,6.45,4.74,5.31,7.36,24,9,8,47
113,6.62,1.69,4.09,6.32,211,7,2,4
114,11.43,2.61,2.4,7.14,112,9,5,26
115,6.12,2.16,5.6,9.39,107,12,8,32
116,7.1,2.65,4.57,7.31,86,11,9,56
117,6.43,3.03,5.61,7.08,217,9,7,67
118,4.16,3.02,3.21,5.67,190,7,9,11
119,8.79,1.6,5.97,4.59,113,2,9,84
120,8,1.15,2.37,6.71,232,11,8,58
121,8.08,5.5,3.34,8.19,74,2,7,52
122,4.68,1.92,4.51,6.38,122,4,6,29
123,9.31,3.34,8.48,7.32,132,9,3,2
124,3.7,0.57,6.57,8.65,120,13,8,68
125,7.67,2.16,7.15,8.62,132,7,3,96
126,10.88,2.35,7.83,7.36,63,9,9,49
127,4.52,3.07,12,7.02,224,4,9,21
128,5.37,0,5.08,4.83,215,9,10,17
129,6.7,2.7,7.84,5.98,176,7,10,77
130,5.49,1.12,7.03,6.44,231,8,9,96
131,3.4,2.89,6.99,5.69,188,1,4,3
132,6.64,1.26,8.55,7.12,243,9,9,42
133,4.38,1.47,4.16,9.29,29,12,2,48
134,7.45,2.17,4,8.77,201,8,1,95
135,4.66,1.24,5.64,7.12,98,1,8,31
136,9.6,1.93,4.63,7.81,20,14,6,1
137,4.93,1.07,5.64,5.85,136,13,10,92
138,5.86,0.3,8.13,8.7,227,8,9,87
139,8.13,3.72,4.04,4.77,61,5,9,69
140,4.04,0.94,4.39,7.99,222,3,3,1
141,6.95,2.29,5.35,7.44,63,8,2,80
142,9.11,3.4,4.54,5.82,78,11,7,75
143,3.29,1.76,1.17,6.53,16,11,5,36
144,6.87,1.51,3.84,5.33,149,3,10,80
145,7.02,2.77,6.37,5.38,139,8,6,59
146,8.06,3.84,7.88,4.73,112,5,5,61
147,4.03,1.1,2.69,7.8,158,8,4,76
148,3.86,2.32,2.68,8.37,233,3,1,94
149,7.54,0.42,5.06,3.99,78,10,4,4
150,7.09,2.03,1,9.19,100,6,10,49
151,7,2.54,4.11,6.78,104,12,3,41
152,7.19,1.47,1.53,7.18,127,6,3,60
153,5.14,1.95,7.74,4.89,213,4,5,72
154,6.96,0.81,3.46,8.52,130,5,1,72
155,7.09,2.59,8.31,7.06,45,12,6,21
156,5.07,3.77,7.23,8.28,30,12,2,40
157,10.23,1.18,3.71,8.39,62,7,1,72
158,7.45,1.75,2.86,8.54,156,1,8,93
159,4.12,3.1,4.61,5.96,12,8,10,79
160,7.81,3.95,4.79,6.53,197,11,3,78
161,4.55,0.71,5.69,6,90,3,6,74
162,8.07,2.3,3.45,7.96,103,7,2,91
163,8.82,2.84,6.49,7.23,109,9,5,40
164,4.86,2.38,5.53,8.19,210,13,9,27
165,8.43,0,4.32,8.25,171,2,7,42
166,7.33,3.1,3.58,4.55,166,13,4,99
167,8.14,4.32,4.63,8.56,211,10,3,36
168,10.29,2.64,3.37,8.04,125,10,9,11
169,6.01,1.26,5.12,6.32,194,7,4,77
170,4.99,1.88,5.17,7.25,82,1,5,35
171,4.72,4.62,5.52,6.64,49,5,6,85
172,4.87,3.59,8.53,7.6,59,11,10,37
173,6.35,3.27,4.74,6.32,212,7,5,12
174,7.18,2.93,7.01,7.42,156,14,9,50
175,7.05,1.71,5.46,6.89,159,5,1,25
176,8.15,2.26,4.52,6.24,188,5,6,92
177,6.53,2.41,4.76,7.05,58,6,4,63
178,9.41,3.16,4.88,10,189,10,4,82
179,5.97,4.31,5.56,5.91,132,10,3,10
180,11.94,3.84,3.08,6.48,159,11,5,58
181,7.75,0.8,2.07,5.93,122,14,8,3
182,4.79,2.77,6.31,6.07,199,14,4,69
183,4.36,3.38,6.8,7.86,248,11,7,55
184,7.46,3.24,6.49,7.73,69,6,8,12
185,6.05,1.74,5.31,6.79,217,10,5,78
186,7.93,6,6.53,8.13,218,13,10,45
187,7.45,0.97,6.43,7.83,241,2,1,41
188,6.35,1.2,6.58,6.59,16,12,8,96
189,4.81,2.78,3.28,4.81,128,12,10,42
190,3.47,5.04,2.81,7.88,190,10,3,33
191,5.61,1.5,4.22,7.02,40,11,4,70
192,8.21,2.18,4.97,6.83,141,10,10,94
193,6.93,3.79,4.52,6.19,102,13,7,6
194,4.01,2.48,1.25,7.77,16,12,9,95
195,6.85,2.1,8.44,7.25,244,9,4,2
196,7.27,3.18,4.45,6.49,231,3,4,26
197,4.73,2.83,5.35,5.21,140,1,6,48
198,6.81,3.74,7.49,8.19,34,11,9,96
199,6.62,4.05,1,7.59,171,1,4,57
200,4.21,2.87,3.98,7.13,42,9,10,69
201,7.22,2.85,4.23,3.35,104,6,8,46
202,7.62,2.76,4.33,6.75,97,7,3,48
203,8.67,3.09,4.65,6.49,135,2,2,41
204,8.61,2.57,7.89,6,47,11,4,16
205,3.74,2.5,6.35,7.78,119,14,4,52
206,4.62,3.94,6.92,7.73,134,12,7,12
207,7.53,4.32,5.09,7.37,135,1,7,15
208,7.53,0.69,2.2,8.15,13,2,9,85
209,7.53,2.51,1,5.47,185,13,10,21
210,14,1.67,1.94,6.21,211,3,2,25
211,7.64,2.13,5.72,6.9,226,3,4,81
212,8.77,2.98,5.06,5.99,110,8,3,72
213,8.41,3.3,4.58,7.75,70,4,3,30
214,7.8,2.37,4.26,6.12,244,1,7,33
215,5.87,0.2,9.02,8.49,202,2,10,66
216,8.02,1.34,3.35,5.59,90,9,6,33
217,4.95,3.58,6.86,9.57,119,2,3,28
218,6.03,0,5,9.44,208,12,8,90
219,5.53,3.92,4.88,6.68,87,9,8,41
220,6.66,3.13,7.35,8.29,70,5,7,1
221,11.13,4.08,7.93,6.28,138,4,9,63
222,2.77,2.26,4.52,8.12,15,4,3,35
223,7.87,0.03,6.6,6.57,240,3,5,48
224,3.27,3.02,5.73,5.13,244,2,6,39
225,5.56,4.03,5.01,3,211,8,9,20
226,8.68,3.61,5.41,6.45,30,6,4,77
227,6.63,1.7,3.62,7.16,204,9,5,95
228,4.34,2.6,4.39,8.53,92,2,9,38
229,5.07,1.86,3.84,6.85,37,12,4,23
230,7.86,1.52,6.8,8.1,203,1,2,12
231,5.04,3.65,4.81,6.21,164,8,9,6
232,6.93,1.06,2.4,6.36,245,8,3,88
233,6.59,1.43,3.55,8.17,169,5,6,98
234,5.2,1.18,1,3.6,149,2,9,97
235,10.79,0.71,4.01,6.82,74,10,3,7
236,7.77,2.68,5.08,6.28,183,5,8,51
237,2.45,3.89,4.73,8.57,244,8,9,14
238,6.87,2.28,8.96,6.11,177,14,3,100
239,5.18,0.69,6.15,7.47,102,14,3,16
240,8.2,3.51,6.06,8,146,4,4,23
241,4.91,4.52,1.71,4.86,91,14,1,18
242,6.27,1.72,4.27,6.62,71,2,2,93
243,7.51,1.93,4.03,6.24,118,3,1,7
244,8.23,3.12,3.43,8.03,237,3,3,68
245,4.1,4.45,3.4,7.68,153,9,6,25
246,5.83,1.88,1.38,6.5,108,13,8,33
247,5.55,0.9,2.45,5.44,109,12,5,51
248,5.19,3.26,6.75,8.15,205,3,8,88
249,10.03,3.46,4.71,6.71,177,1,6,23
250,7.31,2.51,3.99,4.7,244,7,1,50
251,3.98,1.83,4.99,4.81,44,1,3,21
252,8.34,3.69,7.33,7.37,136,6,2,63
253,10.74,3.13,5.01,5.14,92,10,6,21
254,8.56,1.58,6.08,9.22,197,4,8,27
255,3.46,2.56,3.31,5.58,207,7,6,81
256,5.53,0.88,3.76,6.8,232,7,4,26
257,9.03,3.32,5.71,7.01,100,7,4,19
258,5.08,2.19,8.79,5.85,12,14,9,97
259,7.39,1.98,7.86,3.89,137,6,1,58
260,8.05,2.46,6.17,7.05,62,7,2,7
261,4.65,2.55,5.3,5.82,109,8,4,95
262,6.38,3.57,7.8,6.95,196,3,3,15
263,1,3.21,6.59,6.64,173,5,9,66
264,4.45,2.31,1,7.14,203,14,5,66
265,5.99,3.42,2.89,8.83,249,10,8,81
266,4,2.98,5.68,6.09,46,11,4,98
267,9.76,1.99,1.43,6.19,216,9,4,47
268,3.64,2.35,3.2,4.63,110,8,10,46
269,5.62,2.32,3.6,6.55,224,6,3,89
270,6.76,3.11,4.49,7.33,53,13,9,75
271,9.38,2.06,4.43,6.17,73,9,10,44
272,3.63,2.03,4.42,7.34,188,14,2,9
273,8.83,4.86,6.65,6.57,248,10,3,71
274,6.52,3.63,4.47,5.11,133,13,3,11
275,4.54,1.59,4.23,7.21,15,5,3,56
276,7.42,3.19,2.3,6.53,234,2,4,4
277,6.9,2.64,7.05,6.96,78,9,5,37
278,5.3,2.97,3.66,6.06,158,14,6,90
279,6.64,2.66,2.83,5.95,66,5,5,34
280,5.73,3.93,5.43,7,165,8,9,80
281,6.73,2.91,3.47,6.5,94,8,7,47
282,7.82,2.43,3.95,9.04,33,4,7,30
283,9.67,3.75,5.52,7.84,124,4,7,46
284,4.02,2.78,4.35,7.51,101,14,7,80
285,10.77,2.65,9.62,6.57,84,1,2,70
286,2.6,2.88,4.85,4.17,200,5,8,33
287,6.2,2.39,6.24,5.75,31,9,10,50
288,7.68,2.51,1.12,5.96,119,12,1,15
289,7.06,1.8,3.28,6.44,247,5,6,20
290,5.25,1.6,2.83,6.76,43,5,3,76
291,6.08,1.3,3.09,7.65,127,14,6,88
292,5.51,0.83,5.83,7.16,46,6,6,40
293,5.32,1.44,7.07,8.31,50,6,8,32
294,8.2,2.29,5.69,6.39,218,8,4,97
295,7.21,2.62,4.55,7.13,88,14,3,12
296,5.11,2.17,3.74,7.25,230,1,2,15
297,8.3,0,7.23,7.12,235,5,6,59
298,7.11,4.39,9.14,8.47,114,9,3,60
299,8.13,3.8,5.27,7.84,52,3,4,72
300,7.76,3.03,6.88,5.08,31,11,9,4
301,4.84,4.79,5.69,6.65,100,7,7,27
302,5.38,1.33,6.51,6.78,239,7,1,58
303,7.99,4.77,2.67,9.6,152,12,4,53
304,7.72,1.34,4.02,6.37,30,12,8,78
305,6.46,2.79,5.79,5.52,61,10,10,39
306,6.73,0.97,7.42,7.37,13,3,4,15
307,9.06,2.52,3.36,7.45,184,7,1,19
308,5.32,2.96,1,6.7,155,3,10,14
309,7.59,2.31,4,6.51,80,6,2,71
310,6.1,3.36,7.02,8.03,217,8,5,6
311,6.06,2.62,1.83,5.69,127,8,6,34
312,8.7,1.87,2.65,6.36,172,6,1,88
313,8.15,1.82,5.31,6.12,213,2,5,25
314,8.13,3.47,4.77,8.22,16,1,8,41
315,9.11,1.72,6.19,7.17,178,3,8,89
316,6.54,3.6,2.54,5.42,147,14,2,50
317,7.86,3.97,4.35,5.55,199,3,9,79
318,5.88,0.5,7.39,9.24,202,7,2,42
319,7.15,3.86,2.61,8.21,149,4,4,67
320,6.24,4.97,7.95,7.89,100,2,10,100
321,6.69,2.8,2.87,6.82,165,2,4,66
322,7.69,3.22,6.7,8.76,67,12,4,22
323,4.86,3.74,4.25,5.37,193,7,7,28
324,10.68,2.17,2.71,7.78,155,8,8,96
325,4.49,2.72,4.01,6.22,202,11,8,89
326,4.07,0.92,6.09,6.48,194,5,4,1
327,8.82,2.67,4.99,7.74,187,2,4,44
328,8.08,3.1,7.24,6.61,224,3,6,23
329,7.75,3.12,7.87,6.23,240,1,9,5
330,7.76,3.78,2.63,6.16,218,10,5,99
331,6.48,1.57,2.49,4.22,136,4,2,75
332,4.71,1.86,2.39,7.79,54,7,9,15
333,6.65,4.77,3.2,5.49,199,10,9,69
334,5.15,2.32,7.21,9.22,115,12,1,4
335,8.45,2.74,6.12,6.43,119,9,9,44
336,6.21,2.42,3.91,8.5,202,3,7,74
337,4.85,1.51,4.98,4.45,64,4,1,73
338,5.86,4.45,7.81,7.75,47,12,2,33
339,7.33,1.87,8.82,8.09,13,6,2,60
340,5.37,1.15,5.52,8.49,24,1,8,70
341,4.86,1.96,1,4.81,158,5,1,46
342,6.99,0.1,5.59,5.89,158,10,3,27
343,6.99,1.72,6.87,7.55,188,14,1,28
344,5.49,1.34,5.45,6.99,223,5,5,46
345,5.56,3.24,6.45,7.18,117,10,4,34
346,6.96,1.69,5.71,6.33,215,9,3,29
347,3.6,3.57,2.53,8.82,44,9,8,96
348,3.69,4.18,3.23,10,134,13,7,55
349,5.06,3.44,4.36,6.94,13,1,4,57
350,6.07,2.24,7.13,7.39,236,3,1,22
351,7.12,2.67,3.47,6.87,169,13,7,15
352,9.45,0.67,5.91,8.47,229,4,3,27
353,8.22,2.34,5.61,7.88,149,12,5,74
354,6.18,1.47,8.17,5.41,63,1,8,89
355,6.46,3.33,4.92,6,39,9,9,60
356,4.49,5.59,1.49,5.49,18,2,10,75
357,6.46,3.1,6.29,10,28,5,10,72
358,5.92,0.11,9.28,7.63,89,14,7,21
359,7.15,2.07,6.42,6.03,167,13,6,72
360,4.85,2.65,3.42,5.92,202,3,5,37
361,7.54,2.6,2.84,7.85,119,4,5,24
362,9.57,1.62,3.09,7.98,54,4,4,48
363,6.28,2.79,9.01,7.84,32,11,7,23
364,7.3,1.01,4.35,6.25,85,2,1,88
365,7.88,1.37,3.67,7.2,14,11,3,13
366,5.7,3.27,4.68,6.94,221,2,6,59
367,6.95,1.28,4.37,5.58,204,8,10,5
368,6.53,3.15,8.14,5.6,128,2,1,15
369,6.7,0.86,2.97,7.34,203,14,7,24
370,4.95,4.62,7.36,7.06,52,10,2,75
371,6.55,1.57,5.24,7.52,221,7,7,56
372,7.5,2.23,7.41,7.83,11,1,4,81
373,9.4,2.9,8.17,8.75,185,1,9,8
374,8.42,1.82,5.17,5.79,195,10,5,88
375,10.81,2.67,4.37,7.62,49,3,1,91
376,4.97,3.19,5.13,7.77,108,3,4,42
377,8.24,3.65,4.81,6.39,190,11,4,7
378,6.87,3.45,1.69,6.96,196,9,4,24
379,10.88,2.29,8.1,6.43,205,14,3,27
380,4.88,2.32,5.49,9.54,200,2,3,3
381,4.82,5.32,2.67,6.94,126,4,10,86
382,5.3,3.64,1,7.39,173,3,5,48
383,2.25,1.39,1,6.46,49,7,5,22
384,5.45,2.62,6.54,6.18,143,6,2,40
385,4.98,2.1,3.76,5.11,151,9,10,48
386,6.8,2.34,4.09,8.23,216,13,10,49
387,7.18,1.02,5.98,7.8,134,8,9,29
388,10.25,2.01,3.97,6.41,110,2,3,74
389,8.4,4.67,6.09,5.63,42,3,4,17
390,5.35,3.19,5.19,7.03,117,1,2,7
391,4.7,0,4.83,6.15,156,8,8,43
392,7.48,3.96,1.85,6.51,213,13,7,35
393,3.86,3.81,3.36,5.16,180,2,3,40
394,10.16,2.07,6.21,7.08,63,4,5,67
395,8.86,3.36,3.64,7.11,210,2,1,77
396,5.56,1.47,7.41,8.22,220,2,6,6
397,3.07,1.94,9.69,6.6,105,3,10,81
398,9.21,4.3,6.31,6.37,101,14,6,2
399,6.27,2.17,7.99,4.78,101,10,5,39
400,8.98,0.26,6.44,8.23,133,13,9,33
401,3.31,2.42,3.93,7.96,104,5,4,23
402,5.3,2.41,5.4,6.84,70,8,2,33
403,6.51,3.94,9.03,5.07,237,10,7,89
404,6.59,2.52,3.95,5.22,150,2,5,78
405,5.6,1.99,2.92,6.09,179,14,7,99
406,7.75,3.75,2.73,8.05,234,13,7,30
407,4.36,2.64,4.56,7.18,243,5,7,9
408,6.22,1.6,2.99,4.86,27,11,3,94
409,6.74,3.89,8.35,7.33,230,12,5,71
410,7.53,2.73,5.43,5.71,118,13,1,62
411,7.92,2.5,6.94,6.12,240,4,6,72
412,4.25,2.71,4.4,8.06,81,12,4,71
413,3.43,1.22,2.72,7.8,122,13,2,91
414,9.06,1.87,2.38,8.22,223,14,3,25
415,7.16,2.5,3.18,6.77,202,14,3,47
416,5,2.27,5.7,7.95,57,3,1,51
417,9.6,4.03,6.04,6.04,104,10,7,88
418,6.73,2.76,6.21,6.47,93,6,10,28
419,8.86,3.53,2.02,6.38,173,9,3,98
420,6.64,2.51,5,6.83,96,8,7,74
421,10.62,3.77,2.95,5.13,218,2,10,36
422,10.01,2.98,5.8,6.51,182,1,10,79
423,6,2.52,5.96,8.69,147,8,9,61
424,8.44,2.48,2.66,5.38,146,5,6,67
425,7.79,1.35,6.94,5.07,183,2,8,76
426,9.24,3.11,9.68,5.18,154,10,1,33
427,4.57,2.45,6.67,10,204,1,8,62
428,7.87,1.9,4.67,7.4,42,11,8,26
429,8.62,3.83,4.37,6.45,74,8,3,64
430,2.98,1,4.58,6.89,157,8,6,55
431,4.13,1.99,3.48,7.1,203,6,6,6
432,2.42,3.73,5.5,5.97,135,5,7,67
433,5.96,2.88,2.72,6.13,153,5,3,91
434,7.94,2.44,1.22,6.6,210,6,10,14
435,9.5,2.8,5.44,5.86,151,5,1,49
436,6.65,2.72,5.04,6.28,138,2,9,50
437,9.76,0.68,3.86,7.26,172,7,6,75
438,3.74,2.08,2.43,5.5,219,4,5,17
439,3.09,4.44,5.58,10,138,7,2,55
440,6.39,1.71,3.02,7.78,180,1,4,60
441,7.27,2.12,4.72,5.15,78,6,5,46
442,6.43,1.85,8.53,3.58,84,2,10,63
443,2.37,2.4,6.3,5.91,239,3,4,48
444,6.32,1.8,2.26,7.69,225,3,10,62
445,3.89,3.08,2.45,7.44,240,10,4,16
446,7.84,2.74,5.3,6.66,246,1,6,65
447,7.23,3.43,2.25,6.02,105,14,4,48
448,4.62,1.24,1,5.62,192,5,9,54
449,5.47,2.09,6.06,6.28,153,13,2,62
450,4.38,2.23,5.64,5.48,130,8,5,6
451,6.37,3.05,5.9,6.28,204,12,3,79
452,8.41,1.55,5.53,8.53,120,14,8,33
453,4.53,3.6,4.87,5.8,200,8,3,71
454,7.51,3.92,3.68,7.59,81,10,8,72
455,5.44,1.31,6.03,7.79,233,12,8,42
456,4.91,1.91,8.06,5.4,159,11,2,30
457,6.29,1.86,4,5.7,193,7,10,7
458,4.43,5.66,2.96,8.19,61,7,7,40
459,5.39,1.98,2.73,5.6,249,8,6,61
460,4.1,4.51,3.27,6.73,218,13,1,14
461,10.43,0.98,5.41,9.45,164,8,2,61
462,6.57,1.31,1,8.07,73,14,4,64
463,5.1,1.68,5.88,6.91,54,5,2,55
464,6.93,1.49,6.29,7.89,204,7,5,67
465,6.28,2.18,1.4,6.73,35,12,3,90
466,6.06,1.65,3.04,8.12,236,2,6,44
467,7.73,1.52,5.16,4.14,150,4,9,58
468,8.02,3.89,4.71,6.62,218,6,10,34
469,5.44,3.97,6.04,4.09,167,11,7,94
470,5.35,3.64,4.72,7.01,230,14,5,94
471,5.95,3.13,7.53,6.49,87,10,1,57
472,1.9,2.61,4.36,8.57,39,14,1,29
473,3.47,1.9,3.03,7.73,238,3,1,37
474,9.23,1.36,2.87,6.12,181,2,3,89
475,9.79,2.94,6.47,6.27,185,12,7,68
476,6,1.09,5.06,7.29,111,1,9,62
477,7.65,1.31,6.27,6.06,18,4,6,1
478,7.12,3.88,6.23,6.76,185,2,7,72
479,12.66,4.78,1,8.51,105,14,3,52
480,8.74,2.97,2.72,5.72,193,3,8,57
481,6.24,3.83,2.96,6.22,77,12,10,57
482,4.59,2.2,3.37,6.4,143,10,6,66
483,3.29,0.89,4.16,10,202,11,3,81
484,6.91,3.23,7,7.59,98,11,2,61
485,4.99,3.18,7.4,8.27,241,11,9,52
486,3.66,2.59,4.41,7.8,239,6,7,49
487,5.21,2.21,4.5,7.89,204,10,10,23
488,4.34,3.65,3.59,7.42,30,3,10,85
489,9.87,1.32,5.18,7.27,87,3,9,93
490,8.26,1.57,5.41,4.91,39,4,4,69
491,6.48,1.29,6.61,7.27,66,3,4,96
492,9.46,2.6,6.6,6.66,64,6,6,21
493,6.65,1.19,1,7.51,11,9,2,58
494,4.78,1.68,4.69,6.71,57,8,10,9
495,9.55,1.65,7.77,7.79,31,2,1,71
496,7.58,2.19,4.12,8.02,150,3,10,82
497,4.43,0.72,7.28,3.01,98,8,3,79
498,6.12,2.6,4.39,6.24,121,3,5,58
499,4.75,4,5.35,4.39,52,5,2,89
500,3.73,2.66,2.73,7.11,84,12,9,48
501,8.35,4.35,2.8,6.41,249,11,1,80
502,10.32,4.1,6.45,8.56,83,12,3,61
503,3.7,3.43,6.76,7.07,58,12,5,84
504,7.63,2.59,5.05,6.17,245,9,1,37
505,5.2,2.53,2.54,8.02,174,2,4,98
506,5.53,3.42,5.09,6.39,226,9,10,5
507,5.32,2.03,7.51,6.15,117,10,1,33
508,4.77,0.24,8.49,7.31,44,5,7,65
509,6.6,3.09,4.37,8.9,28,9,1,7
510,4.84,1.14,1.68,7.91,37,4,3,42
511,7.04,1.35,6.68,7.54,115,8,4,60
512,6.4,2.5,4.45,10,121,8,4,4
513,6.02,2.39,6.89,5.85,194,3,7,4
514,4.68,0.81,5.56,5.82,124,5,5,77
515,5.35,2.7,3.23,6.99,198,10,8,99
516,8.01,3.66,5.12,8.77,180,1,3,18
517,7.5,1.15,7.62,5.58,130,13,8,50
518,4.54,4.03,4.7,9.08,249,6,9,75
519,6.7,0.63,2.93,4.93,197,9,9,13
520,8,5.04,1.82,6.64,147,12,9,31
521,3.16,2.01,3.46,7.03,88,14,1,42
522,7.59,2.67,4.18,5.65,105,1,9,70
523,5.17,0.23,6.64,5.99,204,2,8,11
524,7.64,2.43,2.76,7.84,33,14,2,21
525,4.97,2.77,8.11,8.67,211,7,3,26
526,2.89,2.4,2.33,4.05,137,6,7,15
527,3.24,1.82,9.66,7.03,181,10,3,24
528,6.6,1.36,8.45,6.65,167,11,2,60
529,7.02,3.86,5.28,6.94,242,3,4,82
530,4.69,2.54,1.7,6.39,124,2,9,72
531,7.78,4.35,4.89,5.12,234,7,2,35
532,3.18,1.87,4.23,8.8,54,10,1,28
533,6.37,1.98,2.45,8.31,226,10,10,29
534,4.08,3.48,5.58,6.66,240,5,7,52
535,5.2,0.55,3.35,6.17,127,6,1,62
536,6.59,1.04,3.57,6.01,69,9,6,56
537,4.78,3.82,4.59,3.44,125,13,5,2
538,5.73,1.09,3.85,7.26,62,7,8,82
